Topic,Count,Representation,Representative_Docs
9,36,"['leugnen', 'politischen', 'egal', 'menschen', 'klimawandelignoranz', 'klimaalarm', 'abzuflachen', 'wütender', 'sagen', 'konsequenten', 'klimawandel', 'klimaaktivisten']","['Statt diese Welle abzuflachen, reden Sie, Herr Kretschmer, dieses Thema klein und machen sich über die Menschen lustig, die sich für einen konsequenten Klimaschutz einsetzen.', 'Statt diese Welle abzuflachen, reden Sie, Herr Kretschmer, dieses Thema klein und machen sich über die Menschen lustig, die sich für einen konsequenten Klimaschutz einsetzen.', 'Eine Partei, die von Klimalüge und Klimaideologie schwafelt, die per Gesetz das Verbandsklagerecht im Umweltbereich angreifen will, die von Dieselmob im Ökowahn schwadroniert, die im Speziellen eine Klimaaktivistin und im Allgemeinen Hunderttausende junge Menschen aufs Übelste diffamiert, die die Energiewende ablehnt, eine Partei, die Leipziger Kitas, Pädagogen, Kinder und Eltern eines bewussteren Speiseplanes wegen der kulturellen Unterwerfung beschuldigt, eine Partei, in der man sich ein Atomkraftwerk in der Lausitz vorstellen kann, aber beim Anblick eines Windrades anfängt herumzuopfern und zu erklären, dass man nicht schlafen kann – eine solche Partei möchte nun Heimatgefühle im Schulgarten wecken.']"
10,31,"['sachsen', 'klimaschutzgesetz', 'europäischen', 'verfassung', 'gesetz', 'gesetzentwurf', 'freistaat', 'klimaschutzgesetzes', 'veränderungen', 'union', 'klimaschutz', 'obsolet']","['Erste Beratung des Entwurfs Gesetz zur Einführung eines Klimaschutzgesetzes für den Freistaat Sachsen Drucksache 7/4895, Gesetzentwurf der Fraktion', 'Schließlich ist die Bürgerinitiative – das ist das eigentliche Hauptanliegen, mit dem sich der Petent an den Petitionsausschuss gewendet hat – nicht einverstanden mit der Tätigkeit bzw. dem Unterlassen der Immissionsschutzbehörden des Freistaates Sachsen, insbesondere über das ihrer Ansicht nach inakzeptable Handeln des Landratsamtes des Landkreises Sächsische Schweiz-Osterzgebirge, der Landesdirektion Sachsen sowie des Staatsministeriums für Energie, Klimaschutz, Umwelt und Landwirtschaft.', '„Ich will deutlich zum Ausdruck bringen, dass der Freistaat Sachsen ein eigenes Klimaschutzgesetz braucht und dass diese Bewertung durch das Klimaschutzgesetz des Bundes wie auch das kommende Klimaschutzgesetz der Europäischen Union nicht obsolet geworden ist bzw. obsolet werden wird.“']"
11,29,"['sanierung', 'sportstätten', 'städte', 'investitionen', 'bauen', 'infrastruktur', 'klimafitter', 'abwasserentsorgung', 'klimaresilienter', 'umzubauen', 'energetische', 'wasserversorgung']","['Das ist also leistbar, und mit der großen Summe können wir die Wasserversorgung klimafitter machen, neue Leitungen bauen, auch die Abwasserentsorgung gestalten.', 'Wir haben Maßnahmen gefordert, bei denen es zum Beispiel darum geht, unsere Städte klimaresilienter umzubauen, wo also durch die Hitzeerscheinungen, die immer häufiger werden, auch die Infrastruktur angepasst werden muss.', 'Wir haben Maßnahmen gefordert, bei denen es zum Beispiel darum geht, unsere Städte klimaresilienter umzubauen, wo also durch die Hitzeerscheinungen, die immer häufiger werden, auch die Infrastruktur angepasst werden muss.']"
12,28,"['sachsen', 'historisch', 'voranzugehen', 'deutschland', 'klimaschutz', 'freistaat', 'welt', 'umzusetzen', 'sozial', 'staatsregierung', 'klima', 'möchte']","['Während Sie als Regierungsfraktion über nachhaltiges Bauen sprechen, räumt gleichzeitig Ihre Staatsregierung im Auftrag eines Kiesbauunternehmens demnächst via Polizei mehrere Waldflächen im benachbarten Dresdner Heidebogen und auch – das ist besonders relevant für den Klimaschutz und für Nachhaltigkeit – intakte Moorflächen, die sehr bedroht sind.', 'Dass Sachsen und Deutschland daran einen erheblichen Anteil haben, auch historisch gesehen, zwingt uns, mit großen Schritten voranzugehen und einen konsequenten und sozial ausgestalteten Klimaschutz umzusetzen.', 'Dass Sachsen und Deutschland daran einen erheblichen Anteil haben, auch historisch gesehen, zwingt uns, mit großen Schritten voranzugehen und einen konsequenten und sozial ausgestalteten Klimaschutz umzusetzen.']"
13,28,"['2050', '2045', 'klimaneutral', 'klimaneutralität', 'europa', 'erreichen', 'modernisierungsprozess', 'treibhausgasneutralität', 'deutschland', 'industrie', '1990', '2035']","['Zum anderen haben wir in der EU vereinbart, bis zum Jahr 2050 klimaneutral zu werden.', 'Wenn wir bis zum Jahr 2045 klimaneutral werden wollen, steht uns europaweit – und besonders hier in Sachsen – der größte Modernisierungsprozess unserer Industrie seit 1990 bevor.', 'Wenn wir bis zum Jahr 2045 klimaneutral werden wollen, dann steht uns in Sachsen der größte Modernisierungsprozess der Industrie seit dem Jahr 1990 bevor.']"
14,24,"['digitalisierung', 'mobilität', 'automatisierung', 'mobilitätswende', 'demografische', 'automobilwirtschaft', 'strukturwandelprozesse', 'energiewirtschaft', 'energiewende', 'klimaschutz', 'verkehrswende', 'nachhaltigen']","['Wir haben Herausforderungen wie die Digitalisierung, die Verkehrswende, den Klimaschutz.', 'Auf der anderen Seite möchten wir die großen Transformations- und Strukturwandelprozesse in der Automobilwirtschaft, in der Energiewirtschaft durch Digitalisierung, E-Mobilität und Klimaschutz zu einem sächsischen Erfolgsprojekt machen.', 'Auf der anderen Seite möchten wir die großen Transformations- und Strukturwandelprozesse in der Automobilwirtschaft, in der Energiewirtschaft durch Digitalisierung, E-Mobilität und Klimaschutz zu einem sächsischen Erfolgsprojekt machen.']"
15,23,"['klima', 'ernährung', 'stadt', 'umwelt', 'klimaanpassung', 'nachhaltigkeit', 'lebensmittelresten', 'fleischkonsums', 'landwirten', 'klimarelevanz', 'treibstoffe', 'gesundes']","['Eine Halbierung des Fleischkonsums, wie von der Deutschen Gesellschaft für Ernährung gefordert, ist nicht nur aus gesundheitlichen Gründen angezeigt, sondern schützt letztendlich auch das Klima.', 'Strategien gegen die Lebensmittelverschwendung sind wichtig und richtig, durchaus auch zu diskutieren, vielfältig und müssen Priorität haben, auch wenn es heute zum Beispiel schon Verfahren gibt, Treibstoffe aus Lebensmittelresten – Resten wohlgemerkt – klimaneutraler und nicht auf Basis von fossilen Ressourcen herzustellen.', 'Auf diesem Pfad zu einer nachhaltigeren Ernährung müssen wir neben den Landwirten auch die Verbraucher mitnehmen, denn die Klimarelevanz der Ernährung ist insbesondere für junge Menschen ein wichtiges Anliegen.']"
16,23,"['energiewende', 'deutsche', 'deutschland', 'gefahr', 'blackout', 'sachsen', 'sicherheit', 'bereichen', 'debatte', 'klimapolitik', 'hochpreisland', 'verteuerung']","['Die strategische Sicherheit der Bundesrepublik Deutschland und in Teilen der Europäischen Union braucht schnell Pläne, Pläne in den Bereichen, die weit über das Energiethema hinausgehen, in den Bereichen Gesundheit, Wirtschaft, Digitales, Energie, Klima, aber auch Ernährung und Landwirtschaft und in dem Bereich Sicherheit.', 'Wir sprechen zum Thema Blackout – Gefahr durch die deutsche Energiewende.', 'Blackout – Gefahr durch die deutsche Energiewende – der Titel unserer heutigen Debatte.']"
17,23,"['biodiversität', 'öffentliche', 'umwelt', 'natur', 'naturschutz', 'klimaschutz', 'nachhaltigkeit', 'ehrenamtlichen', 'tierschutz', 'biodiversitätskrise', 'lebensgrundlage', 'herausforderungen']","['Damit soll besonderes Engagement für Klimaschutz, Biodiversität und Nachhaltigkeit prämiert werden.', 'Mit insgesamt 4 Millionen Euro soll das Engagement für Klimaschutz, Biodiversität und Nachhaltigkeit prämiert werden.', 'Mit insgesamt 4 Millionen Euro soll das Engagement für Klimaschutz, Biodiversität und Nachhaltigkeit prämiert werden.']"
18,22,"['kommunen', 'solaranlagen', 'klimabürokratie', 'ansatzpunkt', 'klimabewusste', 'landesliegenschaften', 'klimaresilienz', 'landesverwaltung', 'erneuerbarer', 'klimawandelanpassung', 'verbessern', 'voranbringen']","['Im Bereich des Klimaschutzes verbessern wir die Klimaresilienz von Kommunen, etwa durch die Förderung von Maßnahmen zur Klimaanpassung oder durch den Ausbau erneuerbarer Energien.', 'Wir tun etwas für die klimabewusste Landesverwaltung, indem wir den Ausbau von Solaranlagen auf Landesliegenschaften voranbringen.', 'Wir tun etwas für die klimabewusste Landesverwaltung, indem wir den Ausbau von Solaranlagen auf Landesliegenschaften voranbringen.']"
19,22,"['landwirtschaft', 'gärten', 'agrarpolitik', 'stress', 'klimawandel', 'trockenheit', 'parks', 'klimawandels', 'landwirte', 'anforderungen', 'zukunft', 'gesellschaftlichen']","['Ein Grund, warum wir die Debatte heute führen, ist, dass Parks und Gärten in Sachsen zunehmend unter Stress geraten, Stress durch Trockenheit, Stress durch Wassermangel und andere Auswirkungen, die die vom Menschen gemachte Klimakrise mit sich bringt.', 'Was die hiesige Landwirtschaft angeht, möchte ich deutlich sagen, dass wir BÜNDNISGRÜNEN nach der gescheiterten Reform der gemeinsamen Agrarpolitik in Europa weiterhin für eine bessere Agrarpolitik in Europa kämpfen, welche den Landwirtschaftsbetrieben faire Wettbewerbsbedingungen bietet und bei der die Leistungen der Landwirtschaft für Natur, Umwelt und Klimaschutz einen Preis bekommen.', 'Die Proteste unserer Landwirte haben sich an den spontanen finanziellen Kürzungsvorhaben der Bundesregierung entzündet, werden aber von tief liegenden Unzufriedenheiten und Konflikten befeuert, zum Beispiel von dem Gefühl fehlender gesellschaftlicher Wertschätzung, von zu vielen Veränderungen in zu kurzer Zeit – und das mit steigenden bürokratischen Anforderungen –, von immer mehr Einschränkungen im Pflanzenschutz und in der Düngung – ich denke an rote Gebiete –, von der Zwangsstilllegung von Flächen, von Einschnitten in der Förderpraxis, von einem hohen Preisdruck des Großhandels, von Klimaveränderungen und Trockenheit.']"
20,19,"['klimafonds', 'klimasozialfonds', 'klimawandelanpassungsmaßnahmen', 'einkommen', 'geld', 'sozial', 'klimaschutzmaßnahmen', 'europäischen', 'finanzierungsmöglichkeiten', 'festgelegten', 'gleichsetzen', 'geldwertstabilität']","['Bei diesen geht es darum, Menschen mit wenig Einkommen bei Klimaschutzmaßnahmen mitzunehmen.', 'Bei diesen geht es darum, Menschen mit wenig Einkommen bei Klimaschutzmaßnahmen mitzunehmen.', 'Vor dem Hintergrund, dass Sie das Sondervermögen mit Aufrüstung gleichsetzen, während das Ziel aber eine angemessene, zeitgemäße und funktionierende Ausrüstung ist, und dass ein Klima- und Transformationsfonds längst auf den Weg gebracht wird, ist Ihr Antrag nicht nur obsolet, er wird auch der Komplexität und der vernetzten Welt, in der wir leben, sowie unserer europäischen und internationalen Verantwortung nicht gerecht.']"
21,18,"['klimastudien', 'zusatzmittel', 'kompetenzzentren', 'wohnen', 'verhindern', 'modernisierung', 'rückfällig', 'klimakatechismus', 'klimarettung', 'verschärft', 'technologieoffenheit', 'sparflamme']","['Die neuesten Lehren aus dem grünen Klimakatechismus versprechen der Glaubensgemeinschaft eine schöne neue Welt durch Frieren, Autoverbot, Fleischverzicht oder wahlweise Insektenmehl im Essen.', 'Wir tragen das nicht mit und haben sämtliche neue Kompetenzzentren, Zusatzmittel für die SAENA sowie Klimastudien herausgestrichen.', 'Wir tragen das nicht mit und haben sämtliche neue Kompetenzzentren, Zusatzmittel für die SAENA sowie Klimastudien herausgestrichen.']"
22,18,"['klimaschulen', 'schulen', 'klimaschule', 'klimanachhilfe', 'schulklima', 'staatsbürgerkunde', 'steuergelder', 'zwölf', 'klimaauffällige', 'klimafolgen', 'jährlich', 'entwickeln']","['Gemäß der Beschlussempfehlung sind jährlich etwa eine Viertelmillion Steuergelder zur Förderung von sogenannten Klimaschulen vorgesehen.', 'Die Initiative Klimaschulen zielt darauf ab, die Themen Klimawandel, Klimafolgen und Klimaschutz langfristig in den sächsischen Schulen zu verankern und diese anzuregen, einen Schwerpunkt Klimaschule zu entwickeln.', 'Die Initiative Klimaschulen zielt darauf ab, die Themen Klimawandel, Klimafolgen und Klimaschutz langfristig in den sächsischen Schulen zu verankern und diese anzuregen, einen Schwerpunkt Klimaschule zu entwickeln.']"
23,15,"['einwohnern', 'kommunen', 'klimaschutzwirkung', 'projekterfolge', 'umweltbehörde', 'vorbildwirkung', 'klimakompetenzzentren', 'projektplanung', 'projektideen', 'klimaschutzkonzeptes', 'ökonomische', 'freiwillige']","['Alle eingereichten Projektideen und am Ende auch die Projekterfolge werden hinsichtlich der Teilaspekte Umweltund Klimaschutzwirkung, Innovationscharakter, Modellcharakter, Vorbildwirkung, Kooperation, Projektplanung sowie soziale und ökonomische Wirkung bewertet.', 'Ein Teil des Klimaschutzkonzeptes schreibt zum Beispiel vor, dass der ÖPNV eine Pflichtaufgabe für die Kommunen wird und keine freiwillige Aufgabe mehr bleibt, dass zum Beispiel eine Gemeinde mit 500 Einwohnern im Zweistundentakt angebunden sein soll und eine Stadt mit 10 000 Einwohnern im Halbstundentakt, und ähnliche Vorgaben, die wir aus der Schweiz kennen.', 'Ein Teil des Klimaschutzkonzeptes schreibt zum Beispiel vor, dass der ÖPNV eine Pflichtaufgabe für die Kommunen wird und keine freiwillige Aufgabe mehr bleibt, dass zum Beispiel eine Gemeinde mit 500 Einwohnern im Zweistundentakt angebunden sein soll und eine Stadt mit 10 000 Einwohnern im Halbstundentakt, und ähnliche Vorgaben, die wir aus der Schweiz kennen.']"
24,14,"['landwirtschaft', 'umwelt', 'ausschuss', 'ausschusses', '09', 'staatsministerium', 'überweisung', 'klimaschutz', 'beschlussempfehlung', 'diskussion', 'beantragen', 'antrag']","['Damit ist dem Einzelplan 09 – Staatsministerium für Energie, Klimaschutz, Umwelt und Landwirtschaft – zugestimmt.', 'Damit ist dem Einzelplan 09 – Staatsministerium für Energie, Klimaschutz, Umwelt und Landwirtschaft – zugestimmt.', 'Wir beantragen eine Überweisung in den Ausschuss für Energie, Klimaschutz, Umwelt und Landwirtschaft.']"
25,14,"['arbeitsplätze', 'wirtschaft', 'klimaneutralen', 'nachhaltige', 'technologien', 'zukunftsinvestitionen', 'klimaneutrale', 'industriestrompreis', 'zukunftsfähiger', 'marktwirtschaftlich', 'klimaforschung', 'klimafolgeanpassung']","['Wir müssen die Transformation unserer Wirtschaft in der Form unterstützen, dass die Arbeitsplätze von heute auch in einer klimaneutralen Wirtschaft erhalten bleiben und neue Arbeitsplätze entstehen.', 'Dafür investieren wir in moderne Technologien, in klimaneutrale Wirtschaft und in sichere Arbeitsplätze.', 'Dafür investieren wir in moderne Technologien, in klimaneutrale Wirtschaft und in sichere Arbeitsplätze.']"
26,13,"['verkehrswende', 'schienenfahrzeuge', 'automobile', 'bürgern', 'bürgerinnen', 'beschriebenen', 'finanzierbar', 'erfolgreich', 'nachgedacht', 'verkehrsträger', 'forschungszentrum', 'schienenfahrzeugbaus']","['Ich zähle diese ganzen Punkte auf, weil es um ein kompliziertes System geht, wo man nicht einfach an einer Schraube drehen kann, sondern wo wir gemeinsam einen Plan entwickeln, umbauen, weiterentwickeln und vor allem auch umsetzen wollen, damit diese Verkehrswende gelingt.', 'Wir haben auch, wenn wir über Verkehrswende etc. reden, durchaus die Situation, dass wir nicht nur über Automobile reden dürfen, wie es bei uns in Westsachsen ist, sondern auch über Schienenfahrzeuge.', 'Wir haben auch, wenn wir über Verkehrswende etc. reden, durchaus die Situation, dass wir nicht nur über Automobile reden dürfen, wie es bei uns in Westsachsen ist, sondern auch über Schienenfahrzeuge.']"
27,13,"['klimabudget', 'maßnahmen', 'investitionen', 'kommunales', 'kommunen', 'euro', 'finanzinfrastruktur', 'energiemanagement', 'sanierungen', 'landkreisen', 'geldregen', 'warmer']","['Ein warmer Geldregen auch für die Kommunen, aber nicht etwa für die Finanzinfrastruktur oder für notwendige Sanierungen, nein, der Klimakampf wird ab sofort aus den sächsischen Rathäusern geführt, und weitere 5 Millionen Euro sind für Ideenwettbewerbe, Öko-Tombolas und sogenannte Zukunftspreise eingeplant.', 'Darum haben wir über unser Fachressort ein kommunales Energie- und Klimabudget auf den Weg gebracht für investive Maßnahmen zur Nutzung erneuerbarer Energien, für klimaschonende Mobilität sowie zum nachhaltigen Wasser-, Ressourcen- und Energiemanagement, für präventive Investitionen und Maßnahmen zur Stärkung der Resilienz von Kommunen gegenüber Klimaveränderungen und hohen Energiekosten sowie für Maßnahmen, die solche Investitionen und Maßnahmen fördern oder vorbereiten.', 'Darum haben wir über unser Fachressort ein kommunales Energie- und Klimabudget auf den Weg gebracht für investive Maßnahmen zur Nutzung erneuerbarer Energien, für klimaschonende Mobilität sowie zum nachhaltigen Wasser-, Ressourcen- und Energiemanagement, für präventive Investitionen und Maßnahmen zur Stärkung der Resilienz von Kommunen gegenüber Klimaveränderungen und hohen Energiekosten sowie für Maßnahmen, die solche Investitionen und Maßnahmen fördern oder vorbereiten.']"
28,13,"['kernenergie', 'klimafeindlich', 'atomenergie', 'kernfusion', 'kernkraftwerke', 'co2', 'umweltfreundliche', 'einsparungen', 'reaktoren', 'kernreaktoren', 'energiewendefanatikern', 'weihwasser']","['„Es gibt Ideen im Dreiländereck – Polen, Tschechien, Deutschland –, Braunkohle zu veredeln und zu verflüssigen, mit CO2 armer Energiequelle, die sehr hohe Temperaturen abkann, zum Beispiel modulare Hochtemperaturreaktoren.“', 'Die Projekte zur Kernfusion und zu kleinen modularen Reaktoren sollen dabei ergebnisoffen als mögliche Variante für eine CO2 freie Energieproduktion geprüft werden.“', 'Hätte sie dies getan, hätte man auf den ersten Blick gemerkt, dass der Kaiser gar keine Kleider anhat – sind die tatsächlich machbaren CO2-Einsparungen im Gebäudesektor doch kaum der Rede wert.']"
29,12,"['deutschland', 'neutralen', 'co2', 'unternehmen', 'kohlekraftwerke', 'deutsche', 'energiegewinnung', 'strafzahlungen', 'importen', 'stromsektor', 'evaluiert', 'extensivierung']","['Meines Erachtens ist an diesem Zwangssanierungsvorhaben bereits der Gedanke des Abzockens für die Rettung des Weltklimas nicht zu ertragen, nein, schon deswegen nicht, weil Deutschlands Anteil an der CO2-Bilanz dieser Welt nur 2 % beträgt, und das als viertgrößte Volkswirtschaft.', 'Während nämlich der Weiterbetrieb von Kernkraftwerken, der inzwischen von einer Bevölkerungsmehrheit gefordert wird, praktisch CO2 frei erfolgen würde, erläutert der Bundesminister in keiner Weise, welche CO2-Strafzahlungen in wohl zweistelliger Milliardenhöhe für den Weiterbetrieb der Kohlekraftwerke auf Deutschland zukommen werden.', 'Während das Ausland versucht, mit CO2 neutraler Kernkraft ihren heimischen und deutschen Unternehmen eine günstige Standortperspektive zu geben, fällt der Standort Deutschland bei Vorkosten und gleichzeitig höchster Steuer- und Abgabenlast weiter zurück.']"
30,12,"['innovationen', 'entwickeln', 'möglichkeiten', 'gesetzentwurf', 'energiewende', 'forschungsstandort', 'wissenschafts', 'entgegenwirken', 'projektvorschlag', 'erforschen', 'existenzgründungen', 'fachregierungserklärung']","['Die Staatsregierung leistet mit verschiedenen Maßnahmen unter Berücksichtigung der klima- und energiepolitischen Rahmenbedingungen ihren Beitrag, dass auch zukünftig der Wissenschafts- und Forschungsstandort Sachsen innovative Ansätze entwickelt und dass die Energieversorgung in Sachsen sicher und bezahlbar ist.', 'Das bereits im Jahr 2018 angekündigte und im Jahr 2019 in den Projektvorschlag der Strukturentwicklung für den Freistaat Sachsen in der Lausitz aufgenommene Strukturförderungsprojekt ist für die Bürger vor Ort und für uns gerade vor dem Hintergrund des Braunkohleausstiegs in der Lausitz von großem Interesse, soll es doch laut Ankündigung viele Möglichkeiten und Chancen für die Lausitzer Region bieten.', 'Die Stiftung Mercator ist es schließlich auch, die über ihre Tochter Agora – wie unser geschätzter Kollege von Breitenbuch vorhin bereits berichtete – und andere Töchter den Green New Deal protegiert, forciert und zum Wohle des deutschen Volkes auch die Energiewende maßgeblich mit vorantreibt.']"
