Topic,Count,Representation,Representative_Docs
9,59,"['pariser', 'klimaabkommen', 'paris', 'klimaschutzabkommen', 'klimaschutzziele', 'klimaschutzabkommens', 'weltklimakonferenz', 'europäische', 'klimakonferenz', 'klimaziel', 'klimazielen', '2020']","['Damit bekennen wir uns zum Pariser Klimaschutzabkommen und zum dort vereinbarten Ziel.', 'Ohne die Europäische Union gäbe es dieses Klimaabkommen nicht, weil lange Einübungszeiten in der Diplomatie maßgeblich dazu geführt haben, dass die Europäische Union das Klimaziel in Paris verankert hat.', 'Er könnte sich nicht nur zu den Pariser Klimazielen bekennen, sondern auch wirklich etwas dafür tun, damit wir diese erreichen.']"
10,58,"['euro', 'haushaltsmittel', 'milliarden', '2017', 'verfügung', '100', 'geld', '2022', 'klimaschutz', 'kommunalen', 'kommunalerklimaschutz', 'energieministerium']","['Mit Verweis auf das Sondervermögen bzw. das Nordrhein-Westfalen-Programm I werden weitere 72 Millionen Euro für progres.nrw, 50 Millionen Euro für Elektromobilität und 50 Millionen Euro für Klimaschutz im Gebäudebereich in Aussicht gestellt.', 'Im nächsten Haushalt stehen 10 Millionen Euro für kommunalen Klimaschutz, 11 Millionen Euro für die Energieforschung zum Beispiel in Bezug auf Wasserstoff, 29 Millionen Euro Kofinanzierung für Maßnahmen im Rheinischen Revier und weitere 174 Millionen Euro für Verpflichtungsermächtigungen für diese große Aufgabe.', 'Seit 2017 haben wir die Haushaltsmittel für Klimaschutz versiebenfacht und im Haushalt 2022 auf 348 Millionen Euro erhöht.']"
11,58,"['klimaanpassungsgesetz', 'klimaschutzgesetz', 'klimapolitischen', 'anpassen', 'klimaschutzgesetzes', 'gesetz', 'diskussionsbeitrag', 'hygieneampel', 'landesabfallgesetz', 'verbesserungsvorschläge', 'koalitionsvertrag', 'lieferkettengesetz']","['Aber gleichzeitig wird von der Bundesregierung und insbesondere von der Bundeskanzlerin ein Handelsabkommen forciert, das das Thema „Nachhaltigkeit und Klimaschutz“ sozusagen in den Annex schiebt, ohne dass es eine gewisse Verbindlichkeit bekommt, während die Öffentlichkeit in Deutschland und Europa mit den schrecklichen Bildern der brennenden Regenwälder im Amazonas, die wir derzeit im Fernsehen sehen müssen, konfrontiert wird und zu Recht auf Zusammenhänge aufmerksam gemacht wird.', 'Allein 2021 hat sie beispielsweise mit den Stellungnahmen zum Lieferkettengesetz, zum Landesabfallgesetz, zum Klimaanpassungsgesetz des Landes und zum geplanten Basisdatenregister für Unternehmen wichtigen Input geleistet, Verbesserungsvorschläge gemacht und damit zur Entlastung des Mittelstands beigetragen.', 'Allein 2021 hat sie beispielsweise mit den Stellungnahmen zum Lieferkettengesetz, zum Landesabfallgesetz, zum Klimaanpassungsgesetz des Landes und zum geplanten Basisdatenregister für Unternehmen wichtigen Input geleistet, Verbesserungsvorschläge gemacht und damit zur Entlastung des Mittelstands beigetragen.']"
12,57,"['herausforderungen', 'herausforderung', 'klimakrise', 'transformation', 'coronapandemie', 'bewältigung', 'krisen', 'digitalisierung', 'klimanotstand', 'coronakrise', 'wirtschaftlich', 'weltweite']","['Die Energiewende und die Transformation zu einer klimaneutralen Industrie stellen uns nämlich vor riesige Herausforderungen.', 'Wir stehen vor Herausforderungen beim Thema „Digitalisierung“, vor Herausforderungen beim Thema „Klimawandel“ sowie vor zahlreichen Herausforderungen, insbesondere in Deutschland, was den internationalen Wettbewerb angeht.', 'Wir haben große Herausforderungen beim Klimaschutz.']"
13,55,"['industrie', 'klimaschutz', 'wirtschaft', 'wirtschaftswachstum', 'arbeitsplätze', 'klimaschützer', 'industriepolitik', 'unternehmen', 'ökologischer', 'konjunkturprogramm', 'exportieren', 'politik']","['Den mehrjährigen Finanzrahmen wollen wir in unserem konkreten Interesse verhandelt wissen für die Programme zur regionalen Entwicklung, für uns Unternehmen, für den Strukturwandel und im Dienste des Klimaschutzes, aber auch im Dienst zukunftsfester Arbeitsplätze im Schlagschatten des Ausstiegs aus Kernenergie und Kohleverstromung.', 'Herr Untrieser, wenn Sie sich so mit der Wirtschaft beschäftigen würden, wüssten Sie, dass viele Unternehmerinnen und Unternehmer die Stiftung 2° gegründet haben und uns alle in der Politik auffordern, dass das Konjunkturprogramm ganz starke klimapolitische Akzente haben sollte und wir diese Fragen ernst nehmen sollten.', 'Es ist gerade im Zuge der globalen Entwicklungen wie der Handelsstreitigkeiten aufgrund von Ungleichheiten im Welthandel, der umkämpften Technologieführerschaft in Zukunftsbranchen und der globalen Herausforderungen des Klimaschutzes von zentraler Bedeutung, eine aktiv gestaltende Industriepolitik unter Berücksichtigung sozialer und ökologischer Anforderungen voranzutreiben.']"
14,54,"['verkehrssektor', 'verkehrspolitik', 'verkehrs', 'luftverkehr', 'mobilität', 'verkehr', 'luftreinhaltung', 'reisen', 'klimafreundlichen', 'radverkehr', 'alternative', 'klimaschutz']","['Wir wissen alle miteinander, dass der Verkehrssektor im Gegensatz zu allen anderen zentralen Sektoren dieser Gesellschaft – ob es die Unternehmen sind, ob es die Haushalte sind, ob es die energieerzeugende Wirtschaft ist etc. – der einzige Bereich ist, der seit 1990 keinen Rückgang beim Ausstoß von klimaschädlichen Gasen hat.', 'Selbstverständlich muss auch der Verkehrssektor einen angemessenen Beitrag zur Erreichung der nationalen Klimaziele leisten.', 'Der Verkehrssektor wird in der Zukunft einen enormen Beitrag zum Klimaschutz leisten müssen.']"
15,49,"['dauert', 'endlich', 'reicht', '2008', 'finanzkrise', 'müsste', 'klimawandel', 'klimaschutz', 'klimaveränderungen', 'krisen', 'reden', 'grünen']","['Wenn wir uns doch eigentlich einig darin sind, dass wir beim Klimaschutz jetzt endlich einen Zahn zulegen müssen, weil die Zeit drängt, dann müsste Ihnen doch auch klar sein, dass wir klimapolitisch keine Zeit für den Umweg über den blauen Wasserstoff haben.', 'Klimaschutz ist aber nicht plötzlich ein Thema, wie es der Ministerpräsident erst neulich gesagt hat, sondern eine Aufgabe, die schon viel zu viele viel zu lange auf die lange Bank geschoben haben, als hätten wir noch ewig Zeit.', 'Dann dauert es nicht mehr lange, bis wir „Elter 1“ oder „Elter 2“ statt „Vater“ oder „Mutter“ sagen müssen, und dann dauert es auch nicht mehr lange, bis wir all die grünen Dogmen vom menschengemachten Klimawandel bis zur Genderideologie nicht einmal mehr diskutieren dürfen.']"
16,48,"['grünen', 'grüne', 'green', 'deal', 'infrastruktur', 'schulinfrastruktur', 'zukunftspakt', 'grüner', '2050', 'radwege', 'digitalisierung', 'politik']","['Grüne Infrastruktur soll um blaue Infrastruktur ergänzt werden – ein Anliegen, das die Architektenkammer Nordrhein-Westfalen in der Anhörung zum Klimaanpassungsgesetz mit Nachdruck vorgetragen und daraus gleich die dreifache Innenentwicklung mit grünblauer Infrastruktur abgeleitet hat.', 'Wir Grüne haben genau da angesetzt und mit unseren Änderungsanträgen einen grünen Zukunftspakt vorgelegt, der mit nachhaltigen Investitionen Konjunkturimpulse in Verbindung mit der Bewältigung der Klimakrise setzt – Schulinfrastruktur, Digitalisierung, Radwege, Klimaschutzmaßnahmen.', 'Wir haben einen Grünen Zukunftspakt NordrheinWestfalen vorgeschlagen mit Investitionen in die Schulinfrastruktur, mit Vorschlägen zur Digitalisierung unserer Hochschulen, mit einer klimaneutralen Landesverwaltung, mit Klimaschutz in den Kommunen und für Radwege.']"
17,48,"['windenergie', 'windkraft', 'energiewende', 'sozialdemokraten', 'windenergieanlagen', 'windindustrieanlagen', 'windenergieausbau', 'windkraftausbau', 'wind', 'sozialdemokratinnen', 'windräder', 'reden']","['Daher ist es für uns Sozialdemokratinnen und Sozialdemokraten enorm wichtig, dass wir bei der Energiewende nicht nur über Investoren reden, sondern all diejenigen im Blick haben, die mit ihrer Stromrechnung zur Energiewende beitragen.', 'CDU und FDP werden den Windenergieausbau wieder in geordnete Bahnen lenken, um die Akzeptanz der Menschen für die Energiewende insgesamt und gerade auch für die Windenergie wiederherzustellen.', 'Die Windenergie ist wichtig, damit wir unsere Klimaschutzziele erreichen.']"
18,48,"['nrw', 'koalition', '2040', '2030', 'nrwkoalition', 'klimaschutzgesetz', 'klimaschutzzielen', 'klimaschutzgesetzes', '2016', 'legislaturperiode', 'klimaziels', 'grün']","['Mit dem neuen Klimaschutzgesetz NRW haben wir das ambitionierteste Klimaschutzgesetz aller Bundesländer auf den Weg gebracht – 2030 minus 65 %, 2040 minus 88 %, 2045 Klimaneutralität.', 'Diese NRW-Koalition hat sich von Beginn an zum Klimaschutz und zu den Pariser Klimaschutzzielen bekannt.', 'Die Neufestlegung von Treibhausgasminderungszielen für 2030 und 2040 sowie die Anpassung des Klimaziels für 2045 ist ein klares Bekenntnis der NRWKoalition zum Klimaschutz und zu den Pariser Klimaschutzzielen.']"
19,45,"['co2', 'holzverbrennung', 'atmosphäre', 'verursacht', 'verbrennung', 'tonnen', 'gas', 'ausstoß', 'massiv', 'düngeeffekt', 'helium', 'gestiegenen']","['Sicherlich braucht dies einige bauliche Veränderungen im Bereich der Betäubung der Tiere – CO2 sinkt nach unten, Helium steigt nach oben –, aber diese Veränderung ist vertretbar.', 'Heizen mit Öl – das hatten wir eben schon gehört – verursacht bis zu 400 g CO2 pro KWh, während dies beim Heizen mit Holz nur etwa 20 bis 40 g CO2 sind.', 'Die Verbrennung von Gas zur Energiefreisetzung ist ja ein Oxidationsvorgang, der immer darin endet, dass das Ganze in CO2 umgewandelt wird.']"
20,39,"['energien', 'erneuerbaren', 'ausbau', 'erneuerbare', 'energieversorgung', 'fossilen', 'brauchen', 'klimaneutrale', 'geothermie', 'erneuerbarer', 'voranzutreiben', 'energieversorgungsstrategie']","['Daher ist es wichtig, den Ausbau der erneuerbaren Energien weiter voranzutreiben und damit den Ausstoß an Treibhausgasemissionen noch stärker zu reduzieren.', 'Uns beschleicht hier die Frage, warum bei einer Energieversorgungsstrategie, die auf Klimaschutz und damit auf erneuerbare Energien ausgerichtet sein soll – darüber steht viel im Vorwort –, ausgerechnet der Ausbau der erneuerbaren Energien erst an elfter Stelle von 17 Handlungsfeldern steht.', 'Ich möchte zumindest den Hinweis geben, dass der Ausbau erneuerbarer Energien am Ende den Lackmustest für den Erfolg der Energiewende bieten wird, und zwar sowohl der Ausbau der Energien selber als auch der Ausbau der Netze und Speicher, damit die erneuerbaren Energien hinterher ihre Wirkung im Netz entfalten können.']"
21,38,"['emissionshandel', 'zertifikatehandel', 'europäischen', 'emissionshandels', 'europäische', 'zertifikaten', 'co2', 'marktpreis', 'emissionshandelssystem', 'emissionshandelssysteme', 'zertifikate', 'energiewirtschaft']","['Genau diese europäische Lösung haben wir bereits, zumindest in dem Teil Europas, der von der EU diktiert wird, denn es gibt den EUweiten Zertifikatehandel mit CO2 .', 'Seit rund 14 Jahren existiert nun der europäische Emissionshandel.', 'Seit rund 14 Jahren existiert der europäische Emissionshandel.']"
22,37,"['energiewende', 'gescheitert', 'funktioniert', 'scheitern', 'erneuerbaren', 'land', 'erfolgreich', 'forschungsbereich', 'energietransport', 'hindert', 'glühbirne', 'sinnvolles']","['Das Projekt ist in seiner aktuell geplanten Dimensionierung sicher ein sinnvolles Energieforschungsprojekt, aber es wird zunächst weder wesentliche Beiträge zur Energiewende noch zur Beschäftigung leisten.', 'Diese technisch nun wirklich absolut unfähige Kommission hat – es muss die göttliche Eingebung gewesen sein – gesagt, dass wir zum Gelingen der Energiewende unseren Strom für zwölf Tage speichern müssen.', 'Wenn wir dieses Land erfolgreich in eine Energiewende führen, aber am Ende die Wirtschaftlichkeit nicht betrachtet wird, wenn am Ende die Industrie weg sein sollte, wenn am Ende der Wohlstand weniger geworden ist, dann wird kein Land der Erde unserem Weg folgen.']"
23,37,"['leugnen', 'klimawandel', 'verstanden', 'menschengemachten', 'klimaleugnung', 'natürlichen', 'leugnung', 'frühjahr', 'demokratischen', 'klimawandels', 'gesprochen', 'klimagläubigen']","['Den Klimawandel leugnen, so wie Sie?', 'Der Klimawandel ist real, meine Damen und Herren von der AfD. Solange Sie das nicht anerkennen, weitere Fakten verfälschen und seriösen Forschern die Worte im Mund umdrehen, werden Sie in diesem Hause und in anderen Orten der Demokratie kein Gehör finden.', 'Wer eben zugehört hat, hätte mitbekommen, dass ich in meiner Rede eben permanent davon gesprochen habe, dass die AfD den menschengemachten Klimawandel leugnet.']"
24,35,"['innovation', 'digitalisierung', 'innovationen', 'roadmap', 'innovativen', 'klimafreundlichen', 'digitale', 'moderne', 'modernisierungskurs', 'mittelstandsförderung', 'energiezukunft', 'bürokratieabbau']","['Wir stellen seine Chancen in den Mittelpunkt für die Menschen und vor allem für das Klima, den Klimaschutz in unserem Land, für eine digitale Wirtschaft, die die Digitalisierung endlich als Motor des Klimaschutzes betrachtet, für neue, moderne Arbeitsmodelle, in denen es kein digitales Lumpenproletariat gibt, für eine digitale Demokratie, die die Menschen online wie offline mitnimmt, und für eine smarte Heimat, in der niemand abgehängt wird.', 'Der Modernisierungskurs mit Schwerpunkt Bürokratieabbau, Mittelstandsförderung, Digitalisierung, Klimaschutz und Innovation wurde konsequent umgesetzt.', 'Der 2017 begonnene Modernisierungskurs mit den Schwerpunkten Bürokratieabbau, Mittelstandsförderung, Digitalisierung, Klimaschutz und Innovation wurde konsequent umgesetzt.']"
25,34,"['2050', 'klimaneutral', 'klimaneutralität', 'neutral', '2045', 'produzieren', '2030', '2035', 'treibhausgasneutral', 'gebäude', 'jahr', 'raffinerieproduktion']","['China soll bis zum Jahre 2050 CO2 neutral sein.', 'Bis 2050 soll der Verkehr klimaneutral sein.', 'Bis 2050 – das habe ich gerade schon erläutert, so das Ziel der EU-Kommission – soll die europäische Industrie nahezu klimaneutral produzieren.']"
26,32,"['co2', 'klimaschädlichen', 'außerhalb', 'bereiche', 'sektor', 'verkehrssektor', 'reduziert', 'gefährliches', 'debattiert', 'emissionsbudget', 'klimasensitivität', 'solarmodul']","['Sie alle wissen – wir haben es bereits intensiv debattiert –, dass im Verkehrsbereich bei den klimaschädlichen Emissionen bislang noch nicht ansatzweise die Einsparungen erbracht worden sind, die notwendig wären.', 'Und auch im Bereich der Verkehrspolitik – das ist der einzige Bereich, in dem es in den letzten 25 Jahren Zuwächse bei den klimaschädlichen Gasen gegeben hat – gibt es keine Anzeichen dafür, dass Sie zentrale Maßnahmen einleiten, um diese Klimaschutzziele zu erreichen.', 'Ich habe gesagt, dass es zwei Bereiche gibt, nämlich den Mobilitätssektor und die Wohnungswirtschaft oder den Wohnungssektor, in denen die Klimaschutzziele in den letzten Jahren und Jahrzehnten bisher unterdurchschnittlich erreicht worden sind.']"
27,31,"['gebäudesektor', 'barrierefreiheit', 'gebäuden', 'häuser', 'denkmalschutzgesetz', 'wohnungsbaus', 'bauen', 'einsparpotenziale', 'gebäudebestand', 'wohnraum', 'klimafreundliches', 'gebäudebereich']","['Die Interessenvertreter der mittelständischen Wohnungswirtschaft beim BFW haben Zweifel angemeldet und sogar gewarnt, wenn die Mieten zu sehr gedrosselt würden, sei die notwendige Modernisierung kaum möglich, um CO2 zu sparen und den Anstieg der Heizkosten zu dämpfen.', 'Das modernisierte Denkmalschutzgesetz des Landes „ist eine Lösung, um den Interessen des Denkmalschutzes einerseits gerecht zu werden, aber auch die Belange des Wohnungsbaus, des Klimas, des Einsatzes erneuerbarer Energien sowie der Barrierefreiheit angemessen zu berücksichtigen.“', 'Das modernisierte Denkmalschutzgesetz des Landes „ist eine Lösung, um den Interessen des Denkmalschutzes einerseits gerecht zu werden, aber auch die Belange des Wohnungsbaus, des Klimas, des Einsatzes erneuerbarer Energien sowie der Barrierefreiheit angemessen zu berücksichtigen.“']"
28,30,"['westfalen', 'nordrhein', 'deutschland', 'ökonomisch', 'rheinischen', 'industrie', 'klimaschutz', 'weltklima', 'unternehmen', 'stadt', 'welt', 'deutsche']","['Gewonnen wird es nicht durch das Festsetzen neuer Zahlen, sondern dadurch, dass wir es schaffen, in Nordrhein-Westfalen ein industrielles Beispiel zu liefern, wie Klimaschutz funktionieren kann, was sich dann ökonomisch in die Welt hinausträgt.', 'Sie sind auch für den Klimaschutz entscheidend, da wir in Deutschland und in Nordrhein-Westfalen eine besondere Verantwortung dafür tragen zu zeigen, dass die Energiewende möglich ist, die den Klimaschutz mit energiewirtschaftlicher Verlässlichkeit und einer starken Volkswirtschaft verbindet.', 'Das sind nicht nur Zahlenspiele, sondern wir reden darüber – Ihr Bundesvorstandsmitglied Thomas Kufen hat Ihnen das sicher ins Stammbuch geschrieben –, dass wir in vielen Städten in Nordrhein-Westfalen Klimainvestitionen tätigen und Schulen, Kultureinrichtungen und vieles andere finanzieren müssen.']"
29,29,"['weder', 'wirtschaftspolitik', 'hilft', 'klimaschutz', 'passiert', 'klima', 'hoffnung', 'täuscht', 'klimaanpassungen', 'entschluss', 'verantwortungsvolle', 'verlierer']","['Damit wäre dem Klimaschutz insgesamt nicht geholfen.', 'Dem Klima ist damit nicht geholfen.', 'Damit ist dem Klima nicht geholfen.']"
30,29,"['wasserstoff', 'hergestellt', 'möglichkeit', 'wasserstoffwirtschaft', 'chemieindustrie', 'guter', 'produktion', 'klimafreundlichen', 'rolle', 'regenerativ', 'grundstoffe', 'gases']","['Wasserstoff, der klimafreundlich hergestellt ist, steht im Fokus.', 'Es gibt grauen Wasserstoff, der klassisch hergestellt wird, und blauen Wasserstoff, bei dem CO2 eingelagert wird.', 'Den Wasserstoff brauchen Sie auch alle für die Energiewende.']"
31,28,"['deutschland', 'bundesrepublik', 'entwicklungsland', 'deutschen', 'berlin', 'risiko', 'westfalen', 'nordrhein', '2013', 'klimaschutzzielen', 'randstreifenregelungen', 'erftstadt']","['Wenn du mit Söder und mit Seehofer verhandeln musst, gehört dir die Solidarität der SPDFraktion, denn da scheitern wichtige Maßnahmen im Bau- und im Verkehrsbereich und nicht an der Ministerin, die versucht, Klimaziele für alle Sektoren zu organisieren, wie wir sie notwendigerweise auch im Land brauchen.', 'Die EU hat nach der Vorlage des deutschen Berichts im Sommer 2012 in einem Aufforderungsschreiben 2013 und einer mit Gründen versehenen Stellungnahme 2014 unter anderem die zu geringen Sperrzeiten, unzureichende Randstreifenregelungen für Hanglagen, die Nichtberücksichtigung bodenklimatischer Regionen und den betrieblichen Nährstoffüberschuss von 60 kg je Hektar bemängelt.', 'In Bielefeld wären etwa 65.000 Menschen betroffen, in Minden 30.000 und in Gütersloh 25.000. Durch den fortschreitenden Klimawandel wird sich die Anzahl der betroffenen Menschen bis Mitte des Jahrhunderts verdreifachen.']"
32,25,"['klima', 'positiv', 'gesichtspunkten', 'klimatischen', 'leben', 'wäre', 'aufenthaltsqualität', 'klimata', 'beliebt', 'wandelnden', 'wundermedizin', 'klimaglückseligkeit']","['Wenn es darum geht, junge Leute dauerhaft für das Leben auf dem Dorf zu begeistern, dann kann Aufenthaltsqualität, die mit Blick auf die sich wandelnden klimatischen Verhältnisse geschaffen wird, ein besonders wichtiger Standortfaktor sein.', 'Unter klimatischen Gesichtspunkten wäre das sicherlich positiv.', 'Unter klimatischen Gesichtspunkten wäre das sicherlich positiv.']"
33,25,"['debatte', 'debatten', 'kritisch', 'klimaretter', 'wichtiges', 'thema', 'politischen', 'leugnen', 'klimawandel', 'reduziert', 'sagen', 'kinderbildungspolitik']","['Zu kurz gesprungen ist es insofern, als dass damit alle anderen politischen Handlungsfelder hintangestellt bzw. auf „Klimakiller“ oder „Klimaretter“ reduziert würden.', 'Wenn wir hier eine breite gesellschaftliche Debatte zum Tierwohl führen, sind wir uns, wie ich hoffe, alle darüber einig, dass in diesem fairen Dialog kein Platz für Alleingänge und Kampagnen selbst ernannter Tierschützer und Aktivisten ist, die etwa mit Stalleinbrüchen oder anderen Verstößen gegen das geltende Recht Existenzen bedrohen, das Diskussionsklima vergiften und dem Tierschutz damit einen Bärendienst erweisen.', 'Zu kurz gesprungen ist es insofern, als dass damit alle anderen politischen Handlungsfelder hintangestellt bzw. auf „Klimakiller“ oder „Klimaretter“ reduziert würden.']"
34,24,"['klimaneutralen', 'treibhausgasneutralen', 'wirtschaft', 'klimaneutrale', 'industrie', 'industrieland', 'klimaneutral', 'energieerzeugung', 'neutral', 'raffineriebereich', 'planungsmöglichkeiten', 'landesinitiative']","['Die große Transformation ist ein staatlich erzwungener Prozess zur sogenannten klimaneutralen Wirtschaft.', 'Es sollen unseres Erachtens auch Regionen außerhalb der Braunkohlereviere profitieren, die wegen des Übergangs zur klimaneutralen Wirtschaft mit großen sozioökonomischen Herausforderungen konfrontiert sind.', 'Um die Entwicklung einer treibhausgasneutralen Industrie voranzutreiben, bündeln wir in der von uns gestarteten Landesinitiative IN4climate das bestehende Knowhow aus Wirtschaft und Wissenschaft, um die notwendigen Rahmenbedingungen für klimafreundliche Technologien in 2030 zu ermöglichen.']"
35,23,"['stahlproduktion', 'thyssenkrupp', 'klimaneutralen', 'herstellung', 'produzierende', 'nordschweden', 'grünem', 'klimaneutrale', 'wasserstoff', 'kreislaufökonomie', 'klimafreundlicheren', 'stahlproduktionen']","['Klimaneutrale Herstellung von Stahl ist möglich, wobei sich die physikalische Art der klimaneutralen Stahlherstellung zwischen Schweden und dem, was thyssenkrupp Steel macht, erheblich unterscheidet.', 'Herr Pinkwart, Sie sprechen von thyssenkrupp und vom klimaneutralen Stahl.', 'Sie wollen eine CO2 neutrale Produktion von Stahl, obwohl Sie wissen, dass der Stahl damit viel teurer wird.']"
36,23,"['erreicht', 'klimaziele', 'klimaschutzziele', 'erreichen', 'einhalten', 'somit', '2020', 'verlängerung', 'pure', 'neufahrzeuge', 'erdklima', 'ungenügend']","['Zweitens ist aber auch richtig, dass er dazu beigetragen hat, dass die CO2-Ziele, die bis 2020 nicht erreicht werden, die Klimaziele, die bis 2020 nicht erreicht werden, nicht zu erreichen sind.', 'Somit bliebe die Erreichung unserer Klimaschutzziele ein frommer Wunsch.', 'Somit bliebe die Erreichung unserer Klimaschutzziele ein frommer Wunsch.']"
