Topic,Count,Representation,Representative_Docs
9,33,"['klimakomponente', 'wohngeld', 'sanierung', 'bauen', 'wohnungsbau', 'energetisch', 'energetischer', 'mieterhöhungen', 'gestaltungsleitfäden', 'klimaschutzes', 'gebäudesanierung', 'flächen']","['Gleichzeitig provoziert dies zwangsweise Nutzungskonflikte über verbleibende Flächen und steht natürlich im Widerspruch zu den gestiegenen Anforderungen und den Erwartungen, sei es durch ökonomische oder infrastrukturelle Anpassungsprozesse oder aber durch die erforderlichen Maßnahmen zum Klimaschutz in unseren Städten, über die wir auch schon mehrfach diskutiert haben.', 'Die Höhe des Wohngeldes wird angehoben, die Heizkosten werden bezuschusst, und es gibt zusätzlich eine Klimakomponente, um die Mieterhöhungen wegen teurer energetischer Gebäudesanierungen abzumildern.', 'Es gibt zusätzlich eine Klimakomponente, um die Mieterhöhungen wegen teurer energetischer Gebäudesanierung abzumildern.']"
10,28,"['stadt', 'brauchen', 'klimaschutz', 'herausforderung', 'unternehmen', 'handels', 'städtische', 'voranbringen', 'gemeinsam', 'öffentliche', 'umwelt', 'fördern']","['Öffentliche Unternehmen haben in der Tat eine wichtige Funktion für die Stadt, und gerade die großen Unternehmen in den Bereichen Ver- und Entsorgung, Nahverkehr und Immobilien haben große Potenziale für den Klimaschutz und sicherlich auch eine Vorreiterposition als Unternehmen der Stadt.', 'Wir sorgen dafür, dass eine städtische Hand entsteht, die die Energiewendekompetenz der Stadt bündelt, dass eine städtische Hand entsteht, die dafür sorgt, dass die städtischen Arbeitnehmerinnen und Arbeitnehmer, die in diesen Bereichen seit Jahren an sehr vielen Punkten extrem viel Knowhow aufbereitet haben, nicht nur natürlich alle dabeibleiben werden, sondern ihre Energie jetzt auch bündeln können und nicht nur in Kooperationsprojekten zusammenarbeiten, sondern jeden Tag gemeinsam quasi am Berg schaffen können.', 'Wir brauchen eine Abkehr vom Finanzierungsvorbehalt, wir brauchen wirksame Entsiegelung und ein Versiegelungsverbot, einen Versiegelungsstopp, und wir brauchen massive Investitionen in Klimamaßnahmen, Katastrophenschutz und natürlich in Personal- und Sachmittel, da, wo es in dieser Stadt Jahr für Jahr und jedes Mal hakt und wo immer noch nicht angekommen ist, was Ursache und was Folge ist.']"
11,27,"['bauen', 'stadt', 'mobilität', 'stadtteil', 'lebensqualität', 'klimaneutraler', 'ermöglichen', 'klima', 'klimaneutralität', 'etwa', 'wirtschaft', 'innenheime']","['Die öffentlichen Räume langsam, aber konsequent umzuverteilen, eine gute Radinfrastruktur, ein starker ÖPNV, das steigert die Lebensqualität für alle, das schützt das Klima und stärkt gerade die Mobilität der kleinen Geldbeutel.', 'Deswegen sagen wir LINKE, Sie dürfen nicht das Teuerste bauen, eine UBahn, Sie dürfen nicht das bauen, was am längsten dauert, die U-Bahn, Sie müssen das bauen, was schnell geht, was uns dem Klimaschutz näherbringt, und das ist die Stadtbahn und das sind jetzt Busspuren, die wir schaffen müssen.', 'Das bedeutet, den Stadtteil in puncto CO2-Bindung, Hitzevorsorge, Regenwassermanagement oder Artenvielfalt an die sich ändernden klimatischen Anforderungen anzupassen, zugleich aber auch die öffentliche Aufenthaltsqualität der Bewohner:innen, aber auch der Besucher:innen durch zusätzliche Grünräume weiterhin zu verbessern.']"
12,25,"['klimaplan', 'bundesverfassungsgericht', 'bundesverfassungsgerichts', '2015', 'klimaschutzurteil', 'mohrenberg', '2021', 'verändert', '2020', 'koalition', 'recht', 'klimarechenzentrum']","['Und zwar hat das Bundesverfassungsgericht im März 2021 den sogenannten Klimabeschluss erlassen und hat dort einige Aussagen getätigt, und ich möchte dazu jetzt einfach kurz daraus zitieren.', 'Herr Mohrenberg sagte gerade, seit 2015 gibt es den Klimaplan, und Herr Kerstan hat es mir gerade auch noch einmal gesagt und bestätigt, die ersten Klimaideen, wie man dahin kam, kamen von Ole von Beust unter der CDU-Regierung.', 'Wenn das Bundesverfassungsgericht mit seinem Urteil zum Klimaschutzgesetz des Bundes vom März recht hat – und das Bundesverfassungsgericht setzt das Recht –, dann reichen die alten Sektorenziele nicht, um die Freiheitsrechte zu erhalten.']"
13,24,"['2035', '2030', 'klimaneutralität', '2040', 'kohleausstieg', '2045', 'idealerweise', '2038', 'klimaneutral', 'bilanziell', 'einzuhalten', 'erreicht']","['Wir reden hier von Zielen für 2035, 2045, um die Klimaziele einzuhalten.', 'Das zur eben noch einmal aufgekommenen Frage, ob 2035, ob 2040 oder 2045 klimaneutral.', 'Es gibt keinen Ausstieg aus dem Verbrennermotor bis 2030, kein Ende klimaschädlicher Milliardensubventionen und kein Tempolimit, der Kohleausstieg ist idealerweise bis 2030 avisiert, Klimaneutralität ab 2045 ist viel zu spät.']"
14,24,"['dennoch', 'erreichen', 'definiert', 'weitere', 'fehlen', 'wissen', 'koalitionsvertrag', 'maßnahmen', 'wirkungsvolles', 'klimaschutzkompromiss', 'quantifizierbar', 'genügend']","['1,5 Grad sind 1,5 Grad und nicht 1,75 Grad mit 67prozentiger Wahrscheinlichkeit.', 'Sie wissen doch, was für das 1,5-Grad-Ziel da ist.', 'Es geht um das 1,5‑Grad-Ziel.']"
15,24,"['klimaschutz', 'unternehmensbeteiligungen', 'wirtschaft', 'klimarettung', 'standards', 'gefragt', 'gerechtigkeitspunkte', 'ermächtigten', 'religiöser', 'skepsis', 'streiten', 'solidarmodell']","['Es geht hier um das Spannungsverhältnis von einem falsch verstandenen und quasi religiös verklärten allein selig machenden Klimaschutz einerseits, den wir aber zurückfahren müssen, wenn er Bauen und Wohnen in unerträglicher Weise verteuert.', 'Also wenn Sie hier sagen, es gehe nicht darum, das Klima zu retten, es gehe nicht darum, jetzt überbordende soziale Standards zu etablieren bei der Vergabe von Unternehmensbeteiligungen, dann ist das genau das, was wir LINKEN kritisieren, dass eben diese sozialen Standards nicht zur Grundlage von Unternehmensbeteiligungen gemacht werden.', 'Wenn jemand, wie hier die GRÜNEN, derart vollmundig mit geradezu religiöser Inbrunst – Klimaschutz als neue Kirche – behauptet, für das Gute und gegen das Böse zu streiten, dann ist allemal gesunde Skepsis angebracht.']"
16,24,"['verkehrswende', 'scooter', 'busse', 'roller', 'klimafreundlicher', 'mobilität', 'erneuerbarer', 'mobilitätswende', 'motorisierte', 'komfortabler', 'recyceln', 'hinzukriegen']","['Und eine Verkehrswende braucht logischerweise auch das Personal, das die Busse und Bahnen fährt.', 'Wir wollen die Verkehrswende und die Mobilitätswende.', 'Sie müssen die Verkehrswende anders machen.']"
17,19,"['fachkräftemangel', 'pandemie', 'herzustellen', 'klimarelevanten', 'betrifft', 'bekämpfung', 'klimawandel', 'industrie', 'herausforderungen', 'wärmepumpeneinbau', 'industriegebiete', 'geopolitischen']","['Mit solchen vermeintlich kleineren Projekten sorgen wir dafür, dass der Fachkräftemangel nicht zur Achillesferse beim Kampf gegen den Klimawandel wird.', 'Wobei man dazu sagen muss, dass der Fachkräftemangel zum Beispiel im HoGa-Bereich, was meine Vorrednerin eben angesprochen hat, aber auch im klimarelevanten Handwerksbereich schon vorher ein großes Problem war und vermutlich in Zukunft noch sein wird.', 'In den klimarelevanten Bereichen wie Fotovoltaik und Wärmepumpeneinbau ist dies eigentlich eine wünschenswerte Entwicklung, doch hier darf der Fachkräftemangel nicht zur Achillesferse beim Kampf gegen den Klimawandel werden.']"
18,17,"['senat', 'senats', 'wirklich', 'vorsitzender', 'angeblich', 'wirksame', 'eingegangen', 'lobbyisten', 'offenbarung', 'verbindlichkeit', 'haushaltsentwurfes', 'senatskommission']","['Angeblich sei man Spitzenreiter im Klimaschutz und plane angeblich, die Klimaziele sogar noch zu verschärfen, doch der Senat besteht diesen Faktencheck nicht.', 'Der Senat bremst sich hier schon geraume Zeit aus, er verstolpert wirklich wirksame Ziele, wirksame und ausreichende Klimaziele, die dem CO2-Restbudget entsprechen.', 'Man könnte jetzt zu diesem Antrag noch einige kritische Fragen aus wissenschaftspolitischer Sicht einstreuen, beispielsweise warum der Senat nicht selbst bei der Erarbeitung des Haushaltsentwurfes auf diese Idee gekommen ist, warum Rot-Grün sonst seinen Schwerpunkt lieber darauf legt, Zentren für Gender und Diversity zu fördern oder im Dienste der Klimawissenschaft 126 Millionen Euro beim Haus der Erde versenkt.']"
19,17,"['klimaschutzgesetzes', 'senat', 'klimaschutzgesetz', 'hafenentwicklungsplan', 'vorschriften', 'vorschlag', 'legislaturperiode', 'gesetz', 'vorgelegt', 'politikverständnis', 'flächennutzungsplan', 'pflichtanteil']","['Wir GRÜNE haben der Bundesregierung unmissverständlich klargemacht, dass es noch in dieser Legislaturperiode passieren muss, dieses Gesetz zu novellieren und ein Sofortprogramm auf den Weg zu bringen, den CO2-Preis anzuheben und im Rahmen des Bundeshaushalts 2022 auch klimaschädliche Subventionen weiter abzubauen.', 'Es ist doch schon angeklungen, dass wir bereits im letzten Jahr Eckpunkte für einen Hafenentwicklungsplan vorgelegt haben, an denen sich der Senat orientieren sollte, dass wir aber weitergegangen sind, einen konkreten Flächennutzungsplan vorgelegt haben, an dem sich der Senat orientieren sollte, dass wir auch für eine Digitalisierungsstrategie, die natürlich für uns alle wichtig ist, und auch für neue Technologien und die Energiewende konkrete Vorschläge gemacht haben.', 'Weiter fordern wir, a) dass der Senat alle neuen und geplanten Vorschriften auf dem Bausektor einer Kostenund Realitätsprüfung unterzieht, b) den Entwurf des neuen Klimaschutzgesetzes zurückzuziehen und die weiteren diesbezüglichen Planungen einzustellen, Stichwort Solar- und Gründachpflicht, Heizungstausch und Pflichtanteil an erneuerbaren Energien, c) Konzepte für kostensparenden, gegebenenfalls auch seriellen Neubau zu entwickeln und d) das Konzept des sogenannten Baukindergeldes wieder aufleben zu lassen und einen entsprechenden Gesetzentwurf vorzulegen.']"
20,16,"['mobilitätswende', 'klimakrise', 'klimawende', 'verkehrspolitik', 'verkehrswende', 'umweltverbund', 'busverkehr', 'verkehrssituation', 'verkehrssektor', 'zukunftsgerichtete', 'städtischer', 'gesellschaftlicher']","['Die Verkehrswende ist dabei ein zentraler Baustein für die Bekämpfung der Klimakrise.', 'Die Verkehrswende ist ein zentraler Baustein für die Bekämpfung der Klimakrise.', 'Die Koalitionspartner bekennen sich zu einer Senkung der klimaschädlichen Emissionen im Verkehrssektor durch eine umfassende Mobilitätswende und wollen diese mit einer Verbesserung der allgemeinen Verkehrssituation, der individuellen Mobilität, gesellschaftlicher Teilhabe und einer Verbesserung der Lebensqualität in unserer Hansestadt in Einklang bringen.']"
21,16,"['cdu', 'verantworten', 'grünen', 'kohleausstieg', 'kolleginnen', 'warum', 'gemacht', 'fälschlicher', 'entschuldigung', 'erstaunt', 'liefern', 'leugnen']","['Denn die SPD, deren ehemaliger Bürgermeister Scholz noch lächelnd den Startknopf für das Kraftwerk Moorburg gedrückt hat, drei Wochen bevor das Pariser Klimaabkommen verabschiedet worden ist, jetzt mit ihrer Position zum Kohleausstieg zu hören, das ist schon etwas merkwürdig.', 'Die CDU-Fraktion hat von Ihnen eine Entschuldigung erwartet beim Kollegen Gamm, weil Sie sich geäußert haben in fälschlicher Weise zu beruflichen Aktivitäten des Kollegen und weil Sie ihn in die Nähe eines Klimaleugners gerückt haben, was sicherlich auch falsch war.', 'Die CDU hat die Abschaltung der Kernkraftwerke zu verantworten, die CDU hat den Kohleausstieg zu verantworten, und nicht zuletzt hat die CDU zu verantworten, zusammen mit der SPD, dass Deutschland sich einseitig von russischem Gas abhängig gemacht hat.']"
22,16,"['land', 'klimagerechtigkeit', 'selbstverständlichkeit', 'klimaschutz', 'regierung', 'schützen', 'grünen', 'bekommen', 'braucht', 'sozial', 'konkurriert', 'inklusion']","['Die Justiz leistet ebenfalls einen Beitrag zum Klimaschutz, denn mit den neuen Räumlichkeiten der Staatsanwaltschaft im Michaelis-Quartier bieten wir nicht nur eine moderne Arbeitsumgebung, sondern sie werden auch CO2 neutral und energieeffizient gestaltet.', 'Dass auf ihr Wirken hin seit 2012 Inklusion neben Klimaschutz, neben Bürokratieabbau und Gleichstellung einen eigenen ausgewiesenen Bereich bei der internen Überprüfung von Drucksachen und deren Auswirkungen hat, mag aus heutiger Sicht eine Selbstverständlichkeit sein, doch wie so vieles musste die scheinbare Selbstverständlichkeit erst einmal erkämpft werden.', 'Sie von den GRÜNEN waren auch da, und wenn ich das richtig sehe, konkurriert diese Organisation nun mit Ihnen darum, wer unter dem Label Klimaschutz mit seinem grünen Fanatismus dem Wohlstand in unserem Land am schnellsten den Garaus machen kann, wer die teuersten Strompreise implementieren und damit die energieintensive Industrie mitsamt Millionen von Arbeitsplätzen am schnellsten aus dem Land treiben kann.']"
23,15,"['energiewende', 'abschalten', 'katastrophe', 'gescheitert', 'ökonomische', 'klimahysterie', 'versorgungsengpässen', 'privatisierter', 'russlandukraine', 'unerträgliche', 'kernkraftwerken', 'klimaanstrengungen']","['Es ist nicht die RusslandUkraine-Krise, die das Ganze verursacht hat, das kommt dann noch dazu als i-Tüpfelchen, sondern die grüne Klimahysterie, das Abschalten von Moorburg, das abrupte Abschalten unserer Kernkraftwerke.', 'Die grüne Klimahysterie, die leichtsinnige sogenannte Energiewende, die Abschaltung von funktionsfähigen Kohle- und Kernkraftwerken haben zu Energieknappheit und wiederholten Versorgungsengpässen geführt, was die Wirtschaft bedroht und den Endverbraucher belastet.', 'Mangelnde Klimaanstrengungen, zu wenige erneuerbare Energien, ein privatisierter, deregulierter Energiemarkt, der außer Rand und Band geraten ist, Kohle und Erdöl als Krückentechnologien treffen auf Menschen, die nicht wissen, wovon sie ihre nächste Energierechnung bezahlen können, eine Inflationsrate, die zu sinkenden Nettoeinkommen führt.']"
24,15,"['energiewende', 'energiepolitik', 'fossile', 'funktioniert', 'sozial', 'wirtschaftsmaßnahmen', 'kohlewärme', 'motivierten', 'effiziente', 'regulatorischen', 'einzuleiten', 'einzuschränken']","['Es geht einerseits um konkreten und konsequenten Klimaschutz, es geht um ergebnisorientierte Energiepolitik, um uns den Einstieg in die Erneuerbaren gelingen zu lassen.', 'Auch das ist eine indirekte Folge grüner Klimapolitik und Energiepolitik, denn wir haben uns stets dafür eingesetzt, dass wir in unserem Fernwärmenetz keine weitere fossile Kohlewärme haben möchten.', 'Während es die Aufgabe von Politik ist, mit einem regulatorischen Rahmen und noch nie da gewesenen Investitionen die Energiewende zu ermöglichen und bezahlbar zu machen, ist es die Aufgabe von Wirtschaft und Wissenschaft, grüne energetische Technologien zu entwickeln, zu erproben und in die Breite zu tragen.']"
25,15,"['energiepolitik', 'deutschen', 'russland', 'zuwanderung', 'energiewende', 'grenzen', 'politik', 'deutschlands', 'klimahysterie', 'grünen', 'gas', 'kommission']","['Übertriebene Klimahysterie, die solide Industriezweige dem Verfall preisgibt, eine Verkehrswende, die einseitig den motorisierten Individualverkehr benachteiligt, eine unsolide Ausgabenpolitik, eine Politik, die den Linksextremismus aus der Flora hofiert, eine Politik, die es nicht fertigbringt, den Staatsvertrag zwischen Schura und Hamburg zu lösen, eine Zuwanderung, die über der Quote liegt.', 'Milliardenkosten für die sinnlose grüne Energiewende, einhergehend mit der Deindustrialisierung Deutschlands, Bauernproteste, die immer mehr zunehmen und denen sich die Spediteure anschließen, die Einbürgerungsreform, die den deutschen Pass zur Ramschware macht, die ungebremste illegale Migration, der Wunsch der Bevölkerung nach Neuwahlen, die Umfragewerte, bei denen Rot-Grün unter die Räder kommt, und die Bürger drohen, eine Alternative zu wählen.', 'Und wenn die Arbeitnehmer dann noch erkennen müssen, wie ihre hart erarbeiteten Steuergelder mit vollen Händen zum Fenster rausgeworfen werden für eine völlig ungesteuerte Zuwanderung ohne Grenzen, ohne jede staatliche Kontrolle, für irrsinnige und unsinnige klimapolitische Maßnahmen, für eine Energiewende, die in die Armut und ins Chaos führt, für Waffenlieferungen in Krisengebiete, für Unterstützungsprogramme südeuropäischer Länder, die ihre strukturellen Aufgabendefizite nicht in den Griff bekommen, dann ziehen sich die Menschen eben aus dem Arbeitsleben zurück und fehlen Millionen von Arbeitnehmern.']"
26,15,"['klimahandwerk', 'klimaberufe', 'experten', 'menschen', 'klimajobs', 'mobilisieren', 'klimaberichts', 'schulleben', 'verkaufsräumen', 'weiterbildungsmaßnahmen', 'werbekampagne', 'werbung']","['Daneben hat zum Beispiel die Handelskammer eine Berufsorientierungsoffensive angekündigt und die Umweltbehörde einen runden Tisch für Fachkräfte im KlimaHandwerk ins Leben gerufen.', 'Das waren Experten von Industriegewerkschaften und Industrieverbänden, das waren Experten von Handwerkskammern über Innungen bis zu Betrieben, das waren Mitautoren des IPCC-Klimaberichts, aber auch Experten der Genossenschaften und Arbeitnehmervertreter.', 'Und deshalb entwickelt die Stadt zusammen mit der Handwerkskammer und den Innungen gezielt Qualifizierungen und Weiterbildungsmaßnahmen für Betriebe im Klimahandwerk.']"
27,15,"['digitalisierung', 'investitionen', 'wachstum', 'arbeitsplätze', 'wirtschaft', 'klimaschutz', 'klimaschutzpolitik', 'infrastruktur', 'transformation', 'konjunkturprogramme', 'kapazität', 'konjunkturaufschwung']","['Notwendig ist daher eine Änderung der Schuldenregeln, um mehr Investitionen in die produktive Kapazität der Wirtschaft zu erreichen, insbesondere in die Bereiche Infrastruktur, Klimaschutz, Digitalisierung und Bildung.', 'Angesichts von Digitalisierung, Klimawandel und veränderter Globalisierungsprozesse braucht es massive Investitionen in Digitalisierung, Bildung und Wissenschaft und die Energiewende.', 'Angesichts von Digitalisierung, Klimawandel, unveränderten Globalisierungsprozessen braucht es diese massiven Investitionen in Digitalisierung, Bildung und Wissenschaft und die Begleitung der Energiewende.']"
28,13,"['innovationen', 'investitionen', 'digitalisierung', 'chance', 'innovative', 'mobilität', 'wirtschaft', 'neuausrichtung', 'living', 'investment', 'lösungsansätze', 'smart']","['Es muss notwendigerweise ein Umdenken in der Gesellschaft stattfinden, denn mehrheitlich alle Herausforderungen des 21. Jahrhunderts in unserer Gesellschaft, von Klimawandel bis Smart Living, von Energie- bis Mobilitätswende, von Kreislaufwirtschaft bis Stadtentwicklung, sind ohne ein starkes Handwerk nicht möglich.', 'Wenn Sie klug investieren wollen in die Zukunft, dann in einen Systemwechsel, der in öffentliche Daseinsvorsorge investiert, der massive Investitionen für Klima und Umwelt, zum Beispiel den massiven Ausbau des ÖPNV, und eine Denkpause für den Flughafen nach Wiederaufnahme des Flugverkehrs bedingt.', 'Wir sind in vielen Bereichen in einer Stimmung des Um- und Aufbruchs, und das ist unsere Chance, die Chance, den großen Zukunftsthemen Gesundheit, Klima und Energie, Mobilität sowie Digitalisierung zu begegnen, die Chance, innovative und nachhaltige Lösungsansätze zu kreieren.']"
29,12,"['defizite', 'investieren', 'geld', 'krise', 'zusätzlichen', 'konjunkturprogramm', 'unternehmen', 'corona', 'finanziert', 'staatlichem', 'verschuldung', 'mögliche']","['Es ist wichtig, dass wir Krisenmanagement unternehmen, das haben wir an sehr vielen Ecken getan, das werden wir weiterhin tun, aber ein Konjunkturprogramm muss ebenso Aspekte für Zukunftsinvestitionen setzen, und deswegen ist es richtig, dass der Klimaplan, der von diesem Senat in der letzten Wahlperiode verabschiedet worden ist, auch ausfinanziert wird.', 'Besonders hervorheben möchte ich hier unsere Finanzierung des Klimaplans, die finanzielle Ausstattung der Wissenschaft in Hamburg samt Hochschulbau und das Konjunkturpaket für unsere Unternehmen und Selbstständigen, die – sehr wichtig – größtenteils unverschuldet in die Corona-Krise geraten sind und – da bin ich mir sehr sicher – mehrheitlich eine gute Chance auf einen Neustart haben.', 'Wir sagen, wir wollen dieses Geld zuvorderst investieren in ambitionierten Klimaschutz, weil wir wissen, es gibt eine Corona-Krise, es gibt eine Wirtschaftskrise, aber es gibt auch eine Klimakrise, und wir müssen die Themen zusammendenken, weil wir sagen, wir wollen in eine umfassende Mobilitätswende investieren, weil wir sagen, wir wollen in die Bildung investieren, in die Kitas, aber insbesondere in den Schulbau mit 4 Milliarden Euro, mit 2,7 Milliarden Euro in den Hochschulbau.']"
